respondent_id,typist,typing_method,typed_type
43,Марія Сергіївна,Метод Аналізу Аспектів,ISTP
44,Сергій Васильович,Метод Аналізу Поведінки,ESFJ
45,Ірина Олександрівна,Метод 5,ENTJ
46,Михайло Максимович,Метод Візуального типування,INTP
47,Оксана Володимирівна,Метод Аудіального типування,ENFJ
48,Андрій Андрійович,Метод Аналізу Аспектів,ISTJ
49,Наталія Олегівна,Метод Аналізу Поведінки,ESFP
50,Олег Сергійович,Метод 5,ENTP
51,Вікторія Василівна,Метод Візуального типування,INTJ
52,Максим Ігорович,Метод Аудіального типування,ENFP
53,Ірина Михайлівна,Метод Аналізу Аспектів,ISTP
54,Олена Володимирівна,Метод Аналізу Поведінки,ESFJ
55,Сергій Олександрович,Метод 5,ENTJ
56,Наталія Максимівна,Метод Візуального типування,INTP
57,Ігор Володимирович,Метод Аудіального типування,ENFJ
58,Оксана Андріївна,Метод Аналізу Аспектів,ISTJ
59,Михайло Олексійович,Метод Аналізу Поведінки,ESFP
60,Катерина Вікторівна,Метод 5,ENTP
61,Олег Максимович,Метод Візуального типування,INTJ
62,Юлія Петрівна,Метод Аудіального типування,ENFP
63,Сергій Сергійович,Метод Аналізу Аспектів,ISTP
64,Олександра Василівна,Метод Аналізу Поведінки,ESFJ
65,Андрій Олексійович,Метод 5,ENTJ
66,Наталія Максимівна,Метод Візуального типування,INTP
67,Максим Володимирович,Метод Аудіального типування,ENFJ
68,Ірина Андріївна,Метод Аналізу Аспектів,ISTJ
69,Олексій Олегович,Метод Аналізу Поведінки,ESFP
70,Вікторія Михайлівна,Метод 5,ENTP
71,Андрій Васильович,Метод Візуального типування,INTJ
72,Олена Ігорівна,Метод Аудіального типування,ENFP
73,Марія Сергіївна,Метод Аналізу Аспектів,ISTP
74,Сергій Васильович,Метод Аналізу Поведінки,ESFJ
75,Ірина Олександрівна,Метод 5,ENTJ
76,Михайло Максимович,Метод Візуального типування,INTP
77,Оксана Володимирівна,Метод Аудіального типування,ENFJ
78,Андрій Андрійович,Метод Аналізу Аспектів,ISTJ
79,Наталія Олегівна,Метод Аналізу Поведінки,ESFP
80,Олег Сергійович,Метод 5,ENTP
81,Вікторія Василівна,Метод Візуального типування,INTJ
82,Максим Ігорович,Метод Аудіального типування,ENFP
83,Ірина Михайлівна,Метод Аналізу Аспектів,ISTP
84,Олена Володимирівна,Метод Аналізу Поведінки,ESFJ
85,Сергій Олександрович,Метод 5,ENTJ
86,Наталія Максимівна,Метод Візуального типування,INTP
87,Ігор Володимирович,Метод Аудіального типування,ENFJ
88,Оксана Андріївна,Метод Аналізу Аспектів,ISTJ
89,Михайло Олексійович,Метод Аналізу Поведінки,ESFP
90,Катерина Вікторівна,Метод 5,ENTP
91,Олег Максимович,Метод Візуального типування,INTJ
92,Юлія Петрівна,Метод Аудіального типування,ENFP
93,Сергій Сергійович,Метод Аналізу Аспектів,ISTP
94,Олександра Василівна,Метод Аналізу Поведінки,ESFJ
95,Андрій Олексійович,Метод 5,ENTJ
96,Наталія Максимівна,Метод Візуального типування,INTP
97,Максим Володимирович,Метод Аудіального типування,ENFJ
98,Ірина Андріївна,Метод Аналізу Аспектів,ISTJ
99,Олексій Олегович,Метод

 Аналізу Поведінки,ESFP
100,Вікторія Михайлівна,Метод 5,ENTP
